Acceptance Rate,Application Deadline,Application Fee,SAT Range,ACT Range,How would you rate on-campus housing?,How would you rate off-campus housing?,How would you rate campus food?,How would you rate campus facilities?,How would you rate class size?,How would you rate school activities?,How would you rate local services?,How would you rate academics?,University Name,Student Life Reviews,General Info,Table,Quick Facts
100%,None,0,None,None,5 Students rated on-campus housing 2 stars. 20 % gave the school a 5.0.,2 Students rated off-campus housing 4 stars. 0 % gave the school a 5.0.,5 Students rated campus food 3.8 stars. 40 % gave the school a 5.0.,5 Students rated campus facilities 4.8 stars. 80 % gave the school a 5.0.,5 Students rated class size 4.3 stars. 60 % gave the school a 5.0.,5 Students rated school activities 3 stars. 0 % gave the school a 5.0.,5 Students rated local services 3 stars. 20 % gave the school a 5.0.,5 Students rated academics 4.5 stars. 60 % gave the school a 5.0.,SOWELA Technical Community College,,,,
100%,None,100,None,None,,,,,,,,,Stage One-The Hair School,None,,,
100%,None,175,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Stevensons Academy of Hair Design,,,,
%,None,50,None,None,,,,,,,,,Strayer University-Louisiana,None,,,
%,None,0,None,None,,,,,,,,,The Chicago School of Professional Psychology at Xavier University of Louisiana,None,,,
25%,None,0,1240-1410,29-32,125 Students rated on-campus housing 3.3 stars. 7 % gave the school a 5.0.,93 Students rated off-campus housing 3.5 stars. 0 % gave the school a 5.0.,131 Students rated campus food 2.9 stars. 10 % gave the school a 5.0.,132 Students rated campus facilities 3.9 stars. 24 % gave the school a 5.0.,132 Students rated class size 4.2 stars. 42 % gave the school a 5.0.,130 Students rated school activities 4 stars. 41 % gave the school a 5.0.,130 Students rated local services 3.8 stars. 42 % gave the school a 5.0.,133 Students rated academics 3.7 stars. 34 % gave the school a 5.0.,Tulane University of Louisiana,,,,
100%,None,0,None,None,,,,,,,,,Unitech Training Academy-Alexandria,None,,,
100%,None,0,None,None,,,,,,,,,Unitech Training Academy-Houma,None,,,
100%,None,0,None,None,,,,,,,,,Unitech Training Academy-Lafayette,None,,,
100%,None,0,None,None,,,,,,,,,Unitech Training Academy-Lake Charles,None,,,
100%,None,0,None,None,,,,,,,,,Unitech Training Academy-Metairie,None,,,
100%,None,0,None,None,,,,,,,,,Unitech Training Academy-West Monroe,None,,,
39%,None,0,None,18-22,1 Students rated on-campus housing 5 stars. 100 % gave the school a 5.0.,2 Students rated off-campus housing 3.5 stars. 0 % gave the school a 5.0.,4 Students rated campus food 3.3 stars. 25 % gave the school a 5.0.,4 Students rated campus facilities 4.3 stars. 25 % gave the school a 5.0.,4 Students rated class size 4.3 stars. 50 % gave the school a 5.0.,4 Students rated school activities 3.3 stars. 50 % gave the school a 5.0.,4 Students rated local services 4.8 stars. 75 % gave the school a 5.0.,4 Students rated academics 5 stars. 100 % gave the school a 5.0.,University of Holy Cross,,,,
51%,None,25,940-1180,21-26,136 Students rated on-campus housing 3.3 stars. 16 % gave the school a 5.0.,106 Students rated off-campus housing 3.6 stars. 0 % gave the school a 5.0.,153 Students rated campus food 3.4 stars. 16 % gave the school a 5.0.,163 Students rated campus facilities 3.9 stars. 31 % gave the school a 5.0.,164 Students rated class size 4.1 stars. 39 % gave the school a 5.0.,164 Students rated school activities 3.9 stars. 39 % gave the school a 5.0.,164 Students rated local services 4 stars. 46 % gave the school a 5.0.,164 Students rated academics 4.1 stars. 42 % gave the school a 5.0.,University of Louisiana at Lafayette,,,,
76%,None,20,950-1360,20-25,56 Students rated on-campus housing 3.7 stars. 21 % gave the school a 5.0.,49 Students rated off-campus housing 3.5 stars. 0 % gave the school a 5.0.,69 Students rated campus food 3.6 stars. 25 % gave the school a 5.0.,70 Students rated campus facilities 4.2 stars. 40 % gave the school a 5.0.,70 Students rated class size 4.1 stars. 40 % gave the school a 5.0.,68 Students rated school activities 3.9 stars. 34 % gave the school a 5.0.,70 Students rated local services 4.2 stars. 47 % gave the school a 5.0.,71 Students rated academics 4 stars. 37 % gave the school a 5.0.,University of Louisiana at Monroe,,,,
%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,University of Louisiana-System Administration,,,,
60%,None,20,950-1230,20-24,66 Students rated on-campus housing 3.6 stars. 18 % gave the school a 5.0.,58 Students rated off-campus housing 3 stars. 0 % gave the school a 5.0.,76 Students rated campus food 3.5 stars. 26 % gave the school a 5.0.,75 Students rated campus facilities 3.8 stars. 29 % gave the school a 5.0.,76 Students rated class size 4.2 stars. 38 % gave the school a 5.0.,75 Students rated school activities 3.4 stars. 23 % gave the school a 5.0.,76 Students rated local services 4 stars. 39 % gave the school a 5.0.,77 Students rated academics 4.3 stars. 51 % gave the school a 5.0.,University of New Orleans,,,,
%,None,0,None,None,,,,,,,,,University of Phoenix-Baton Rouge,None,,,
%,None,0,None,None,,,,,,,,,University of Phoenix-Lafayette Campus,None,,,
%,None,0,None,None,,,,,,,,,University of Phoenix-Louisiana,None,,,
100%,None,0,None,None,,,,,,,,,University of Phoenix-Louisiana Campus,None,,,
%,None,0,None,None,,,,,,,,,University of Phoenix-Shreveport-Bossier Campus,None,,,
100%,None,50,None,None,,,,,,,,,Vanguard College of Cosmetology-Baton Rouge,None,,,
100%,None,50,None,None,,,,,,,,,Vanguard College of Cosmetology-Metairie,None,,,
100%,None,50,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Vanguard College of Cosmetology-Slidell,,,,
100%,None,100,None,None,,,,,,,,,VH Barber & Styling Academy,None,,,
100%,None,0,None,None,,,,,,,,,Virginia College-Baton Rouge,None,,,
100%,None,0,None,None,,,,,,,,,Virginia College-Shreveport,None,,,
61%,None,25,890-1110,20-26,128 Students rated on-campus housing 3.1 stars. 8 % gave the school a 5.0.,102 Students rated off-campus housing 2.8 stars. 0 % gave the school a 5.0.,133 Students rated campus food 2.7 stars. 5 % gave the school a 5.0.,138 Students rated campus facilities 3.6 stars. 21 % gave the school a 5.0.,138 Students rated class size 4.4 stars. 51 % gave the school a 5.0.,138 Students rated school activities 3.3 stars. 15 % gave the school a 5.0.,139 Students rated local services 3.8 stars. 35 % gave the school a 5.0.,138 Students rated academics 4.1 stars. 49 % gave the school a 5.0.,Xavier University of Louisiana,,,,
62%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Bangor Theological Seminary,,,,
22%,15-Nov,60,None,None,41 Students rated on-campus housing 4.2 stars. 34 % gave the school a 5.0.,21 Students rated off-campus housing 3.8 stars. 0 % gave the school a 5.0.,41 Students rated campus food 4.6 stars. 73 % gave the school a 5.0.,42 Students rated campus facilities 4.2 stars. 38 % gave the school a 5.0.,42 Students rated class size 4.5 stars. 57 % gave the school a 5.0.,42 Students rated school activities 4.4 stars. 57 % gave the school a 5.0.,42 Students rated local services 3.9 stars. 31 % gave the school a 5.0.,42 Students rated academics 4 stars. 40 % gave the school a 5.0.,Bates College,,,,
100%,None,30,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Beal College,,,,
71%,None,50,None,None,,,,,,,,,Birthwise Midwifery School,None,,,
14%,November 15 and January 1,65,None,None,41 Students rated on-campus housing 4.5 stars. 56 % gave the school a 5.0.,24 Students rated off-campus housing 3.3 stars. 0 % gave the school a 5.0.,41 Students rated campus food 4.9 stars. 88 % gave the school a 5.0.,41 Students rated campus facilities 4.7 stars. 76 % gave the school a 5.0.,41 Students rated class size 4.6 stars. 66 % gave the school a 5.0.,41 Students rated school activities 4.3 stars. 49 % gave the school a 5.0.,41 Students rated local services 4.3 stars. 49 % gave the school a 5.0.,41 Students rated academics 4.3 stars. 56 % gave the school a 5.0.,Bowdoin College,,,,
100%,None,100,None,None,,,,,,,,,Capilo School of Hair Design,None,,,
100%,None,20,None,None,8 Students rated on-campus housing 4 stars. 38 % gave the school a 5.0.,6 Students rated off-campus housing 2.9 stars. 0 % gave the school a 5.0.,9 Students rated campus food 3.6 stars. 22 % gave the school a 5.0.,9 Students rated campus facilities 4.3 stars. 33 % gave the school a 5.0.,9 Students rated class size 4.4 stars. 56 % gave the school a 5.0.,9 Students rated school activities 3.4 stars. 0 % gave the school a 5.0.,9 Students rated local services 3.6 stars. 11 % gave the school a 5.0.,9 Students rated academics 4.3 stars. 44 % gave the school a 5.0.,Central Maine Community College,,,,
14%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Central Maine Medical Center School of Radiologic Technology,,,,
18%,15-Nov,0,1270-1470,30-33,34 Students rated on-campus housing 3.7 stars. 12 % gave the school a 5.0.,23 Students rated off-campus housing 2.7 stars. 0 % gave the school a 5.0.,34 Students rated campus food 4 stars. 32 % gave the school a 5.0.,33 Students rated campus facilities 4.4 stars. 42 % gave the school a 5.0.,33 Students rated class size 4.6 stars. 58 % gave the school a 5.0.,32 Students rated school activities 4.2 stars. 34 % gave the school a 5.0.,32 Students rated local services 3.2 stars. 9 % gave the school a 5.0.,33 Students rated academics 4 stars. 33 % gave the school a 5.0.,Colby College,,,,
64%,1-Dec,50,None,None,3 Students rated on-campus housing 4.7 stars. 67 % gave the school a 5.0.,2 Students rated off-campus housing 3 stars. 0 % gave the school a 5.0.,3 Students rated campus food 5 stars. 100 % gave the school a 5.0.,3 Students rated campus facilities 4.7 stars. 67 % gave the school a 5.0.,3 Students rated class size 5 stars. 100 % gave the school a 5.0.,3 Students rated school activities 3.7 stars. 0 % gave the school a 5.0.,3 Students rated local services 3.7 stars. 0 % gave the school a 5.0.,3 Students rated academics 4 stars. 67 % gave the school a 5.0.,College of the Atlantic,,,,
100%,None,100,None,None,,,,,,,,,Cosmotech School of Cosmetology,None,,,
100%,None,20,None,None,18 Students rated on-campus housing 3.7 stars. 17 % gave the school a 5.0.,8 Students rated off-campus housing 4.1 stars. 0 % gave the school a 5.0.,20 Students rated campus food 4.1 stars. 45 % gave the school a 5.0.,20 Students rated campus facilities 3.8 stars. 35 % gave the school a 5.0.,21 Students rated class size 4.4 stars. 57 % gave the school a 5.0.,20 Students rated school activities 3.9 stars. 25 % gave the school a 5.0.,21 Students rated local services 4.3 stars. 48 % gave the school a 5.0.,21 Students rated academics 4.2 stars. 38 % gave the school a 5.0.,Eastern Maine Community College,,,,
100%,None,100,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Empire Beauty School-Maine,,,,
80%,None,40,860-1070,17-23,60 Students rated on-campus housing 3.3 stars. 13 % gave the school a 5.0.,49 Students rated off-campus housing 3.2 stars. 0 % gave the school a 5.0.,61 Students rated campus food 3.5 stars. 30 % gave the school a 5.0.,62 Students rated campus facilities 3.8 stars. 32 % gave the school a 5.0.,62 Students rated class size 4.6 stars. 71 % gave the school a 5.0.,62 Students rated school activities 3.6 stars. 27 % gave the school a 5.0.,62 Students rated local services 4 stars. 40 % gave the school a 5.0.,62 Students rated academics 4.1 stars. 47 % gave the school a 5.0.,Husson University,,,,
